
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.728
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.540
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-3.2332023374 	0.0025017736 	0.0018008513 	0.0018008514 	0.0018008512
	-3.2080935568 	0.0038788274 	0.0027920957 	0.0027920958 	0.0027920957
	-3.1829847763 	0.0059123139 	0.0042558599 	0.0042558601 	0.0042558599
	-3.1578759958 	0.0088597011 	0.0063774772 	0.0063774775 	0.0063774771
	-3.1327672153 	0.0130522455 	0.0093953957 	0.0093953961 	0.0093953956
	-3.1076584348 	0.0189040980 	0.0136077338 	0.0136077343 	0.0136077337
	-3.0825496543 	0.0269172853 	0.0193758650 	0.0193758658 	0.0193758649
	-3.0574408737 	0.0376800198 	0.0271232023 	0.0271232035 	0.0271232024
	-3.0323320932 	0.0518555871 	0.0373271985 	0.0373272001 	0.0373271987
	-3.0072233127 	0.0701591885 	0.0505026768 	0.0505026790 	0.0505026773
	-2.9821145322 	0.0933207301 	0.0671750452 	0.0671750483 	0.0671750461
	-2.9570057517 	0.1220327130 	0.0878427868 	0.0878427909 	0.0878427883
	-2.9318969712 	0.1568841156 	0.1129298658 	0.1129298712 	0.1129298682
	-2.9067881907 	0.1982833509 	0.1427302700 	0.1427302769 	0.1427302735
	-2.8816794101 	0.2463758264 	0.1773486679 	0.1773486766 	0.1773486729
	-2.8565706296 	0.3009639697 	0.2166428413 	0.2166428521 	0.2166428482
	-2.8314618491 	0.3614393959 	0.2601748562 	0.2601748695 	0.2601748656
	-2.8063530686 	0.4267377248 	0.3071785402 	0.3071785562 	0.3071785524
	-2.7812442881 	0.4953260347 	0.3565504506 	0.3565504694 	0.3565504660
	-2.7561355076 	0.5652308299 	0.4068700061 	0.4068700279 	0.4068700253
	-2.7310267271 	0.6341107225 	0.4564518060 	0.4564518309 	0.4564518292
	-2.7059179465 	0.6993730941 	0.5034296063 	0.5034296343 	0.5034296338
	-2.6808091660 	0.7583283848 	0.5458673816 	0.5458674124 	0.5458674135
	-2.6557003855 	0.8083701580 	0.5818889411 	0.5818889744 	0.5818889773
	-2.6305916050 	0.8471646031 	0.6098143383 	0.6098143738 	0.6098143786
	-2.6054828245 	0.8728304698 	0.6282893934 	0.6282894305 	0.6282894372
	-2.5803740440 	0.8840901754 	0.6363944642 	0.6363945024 	0.6363945110
	-2.5552652634 	0.8803751971 	0.6337203111 	0.6337203496 	0.6337203601
	-2.5301564829 	0.8618736461 	0.6204023421 	0.6204023805 	0.6204023924
	-2.5050477024 	0.8295144818 	0.5971092501 	0.5971092876 	0.5971093008
	-2.4799389219 	0.7848902097 	0.5649873681 	0.5649874040 	0.5649874181
	-2.4548301414 	0.7301270187 	0.5255671900 	0.5255672239 	0.5255672386
	-2.4297213609 	0.6677170969 	0.4806426674 	0.4806426988 	0.4806427136
	-2.4046125804 	0.6003315133 	0.4321365152 	0.4321365439 	0.4321365584
	-2.3795037998 	0.5306331217 	0.3819655351 	0.3819655608 	0.3819655748
	-2.3543950193 	0.4611074475 	0.3319188823 	0.3319189049 	0.3319189179
	-2.3292862388 	0.3939258556 	0.2835595699 	0.2835595895 	0.2835596015
	-2.3041774583 	0.3308502033 	0.2381558353 	0.2381558519 	0.2381558627
	-2.2790686778 	0.2731825113 	0.1966449119 	0.1966449258 	0.1966449352
	-2.2539598973 	0.2217578226 	0.1596278884 	0.1596278998 	0.1596279079
	-2.2288511167 	0.1769740431 	0.1273911893 	0.1273911985 	0.1273912054
	-2.2037423362 	0.1388496424 	0.0999481095 	0.0999481169 	0.0999481225
	-2.1786335557 	0.1070987807 	0.0770928932 	0.0770928989 	0.0770929035
	-2.1535247752 	0.0812136176 	0.0584599815 	0.0584599859 	0.0584599895
	-2.1284159947 	0.0605449262 	0.0435820416 	0.0435820449 	0.0435820477
	-2.1033072142 	0.0443742699 	0.0319419214 	0.0319419238 	0.0319419260
	-2.0781984337 	0.0319734320 	0.0230154288 	0.0230154306 	0.0230154322
	-2.0530896531 	0.0226491474 	0.0163035310 	0.0163035323 	0.0163035335
	-2.0279808726 	0.0157731717 	0.0113539988 	0.0113539997 	0.0113540006
	-2.0028720921 	0.0107991798 	0.0077735713 	0.0077735719 	0.0077735725
	-1.9777633116 	0.0072688730 	0.0052323513 	0.0052323517 	0.0052323521
	-1.9526545311 	0.0048100319 	0.0034624042 	0.0034624045 	0.0034624048
	-1.9275457506 	0.0031292006 	0.0022524918 	0.0022524920 	0.0022524922
	-1.9024369700 	0.0020013517 	0.0014406326 	0.0014406327 	0.0014406328
	-1.8773281895 	0.0012583979 	0.0009058323 	0.0009058324 	0.0009058325
	-1.8522194090 	0.0007778881 	0.0005599470 	0.0005599471 	0.0005599472
	-1.8271106285 	0.0004727384 	0.0003402912 	0.0003402912 	0.0003402912
	-1.8020018480 	0.0002824419 	0.0002033101 	0.0002033101 	0.0002033101
	-1.7768930675 	0.0001658983 	0.0001194186 	0.0001194186 	0.0001194186
	-1.7517842870 	0.0000957987 	0.0000689587 	0.0000689587 	0.0000689587
	-1.7266755064 	0.0000543853 	0.0000391481 	0.0000391482 	0.0000391482
	-1.7015667259 	0.0000303534 	0.0000218493 	0.0000218493 	0.0000218493
	-1.6764579454 	0.0000166548 	0.0000119886 	0.0000119886 	0.0000119886
	-1.6513491649 	0.0000089841 	0.0000064670 	0.0000064670 	0.0000064670
	-1.6262403844 	0.0000047645 	0.0000034296 	0.0000034296 	0.0000034296
	-1.6011316039 	0.0000024840 	0.0000017881 	0.0000017881 	0.0000017881
	-1.5760228233 	0.0000012732 	0.0000009165 	0.0000009165 	0.0000009165
	-1.5509140428 	0.0000006416 	0.0000004618 	0.0000004618 	0.0000004618
	-1.5258052623 	0.0000003179 	0.0000002288 	0.0000002288 	0.0000002288
	-1.5006964818 	0.0000001548 	0.0000001114 	0.0000001114 	0.0000001114
	-1.4755877013 	0.0000000741 	0.0000000534 	0.0000000534 	0.0000000534
	-1.4504789208 	0.0000000349 	0.0000000251 	0.0000000251 	0.0000000251
	-1.4253701403 	0.0000000162 	0.0000000117 	0.0000000117 	0.0000000117
	-1.4002613597 	0.0000000074 	0.0000000054 	0.0000000054 	0.0000000054
	-1.3751525792 	0.0000000034 	0.0000000025 	0.0000000025 	0.0000000025
	-1.3500437987 	0.0000000016 	0.0000000014 	0.0000000014 	0.0000000014
	-1.3249350182 	0.0000000010 	0.0000000013 	0.0000000013 	0.0000000013
	-1.2998262377 	0.0000000010 	0.0000000020 	0.0000000020 	0.0000000020
	-1.2747174572 	0.0000000018 	0.0000000041 	0.0000000041 	0.0000000041
	-1.2496086767 	0.0000000037 	0.0000000086 	0.0000000086 	0.0000000086
	-1.2244998961 	0.0000000078 	0.0000000183 	0.0000000183 	0.0000000183
	-1.1993911156 	0.0000000163 	0.0000000383 	0.0000000383 	0.0000000383
	-1.1742823351 	0.0000000334 	0.0000000786 	0.0000000786 	0.0000000786
	-1.1491735546 	0.0000000675 	0.0000001586 	0.0000001586 	0.0000001586
	-1.1240647741 	0.0000001340 	0.0000003149 	0.0000003149 	0.0000003149
	-1.0989559936 	0.0000002614 	0.0000006145 	0.0000006145 	0.0000006145
	-1.0738472130 	0.0000005016 	0.0000011790 	0.0000011790 	0.0000011790
	-1.0487384325 	0.0000009461 	0.0000022238 	0.0000022238 	0.0000022238
	-1.0236296520 	0.0000017544 	0.0000041237 	0.0000041237 	0.0000041237
	-0.9985208715 	0.0000031983 	0.0000075177 	0.0000075177 	0.0000075177
	-0.9734120910 	0.0000057322 	0.0000134738 	0.0000134738 	0.0000134738
	-0.9483033105 	0.0000101001 	0.0000237409 	0.0000237409 	0.0000237409
	-0.9231945300 	0.0000174960 	0.0000411254 	0.0000411254 	0.0000411254
	-0.8980857494 	0.0000297958 	0.0000700370 	0.0000700370 	0.0000700370
	-0.8729769689 	0.0000498857 	0.0001172597 	0.0001172597 	0.0001172597
	-0.8478681884 	0.0000821111 	0.0001930079 	0.0001930079 	0.0001930079
	-0.8227594079 	0.0001328717 	0.0003123244 	0.0003123244 	0.0003123244
	-0.7976506274 	0.0002113819 	0.0004968686 	0.0004968686 	0.0004968686
	-0.7725418469 	0.0003306036 	0.0007771091 	0.0007771092 	0.0007771092
	-0.7474330663 	0.0005083373 	0.0011948885 	0.0011948885 	0.0011948885
	-0.7223242858 	0.0007684242 	0.0018062498 	0.0018062499 	0.0018062499
	-0.6972155053 	0.0011419702 	0.0026843154 	0.0026843155 	0.0026843155
	-0.6721067248 	0.0016684501 	0.0039218853 	0.0039218854 	0.0039218855
	-0.6469979443 	0.0023964948 	0.0056332926 	0.0056332928 	0.0056332928
	-0.6218891638 	0.0033841114 	0.0079549319 	0.0079549321 	0.0079549322
	-0.5967803833 	0.0046980526 	0.0110437945 	0.0110437948 	0.0110437950
	-0.5716716027 	0.0064120421 	0.0150733311 	0.0150733315 	0.0150733317
	-0.5465628222 	0.0086036043 	0.0202260564 	0.0202260569 	0.0202260572
	-0.5214540417 	0.0113493375 	0.0266825357 	0.0266825364 	0.0266825368
	-0.4963452612 	0.0147186255 	0.0346067655 	0.0346067665 	0.0346067670
	-0.4712364807 	0.0187659942 	0.0441284705 	0.0441284716 	0.0441284723
	-0.4461277002 	0.0235225722 	0.0553234460 	0.0553234475 	0.0553234483
	-0.4210189196 	0.0289873731 	0.0681937140 	0.0681937158 	0.0681937168
	-0.3959101391 	0.0351193514 	0.0826498201 	0.0826498223 	0.0826498235
	-0.3708013586 	0.0418313279 	0.0984979887 	0.0984979912 	0.0984979927
	-0.3456925781 	0.0489869126 	0.1154349315 	0.1154349346 	0.1154349363
	-0.3205837976 	0.0564014105 	0.1330528173 	0.1330528208 	0.1330528228
	-0.2954750171 	0.0638473948 	0.1508561880 	0.1508561920 	0.1508561942
	-0.2703662366 	0.0710651636 	0.1682914962 	0.1682915006 	0.1682915032
	-0.2452574560 	0.0777777221 	0.1847885197 	0.1847885246 	0.1847885274
	-0.2201486755 	0.0837093184 	0.1998113417 	0.1998113470 	0.1998113501
	-0.1950398950 	0.0886060019 	0.2129150723 	0.2129150781 	0.2129150814
	-0.1699311145 	0.0922562581 	0.2238032345 	0.2238032407 	0.2238032442
	-0.1448223340 	0.0945095812 	0.2323799378 	0.2323799444 	0.2323799481
	-0.1197135535 	0.0952909257 	0.2387907482 	0.2387907551 	0.2387907590
	-0.0946047729 	0.0946093291 	0.2434465951 	0.2434466024 	0.2434466065
	-0.0694959924 	0.0925595874 	0.2470261140 	0.2470261217 	0.2470261260
	-0.0443872119 	0.0893166049 	0.2504534171 	0.2504534253 	0.2504534298
	-0.0192784314 	0.0851228400 	0.2548502757 	0.2548502847 	0.2548502893
	0.0058303491 	0.0802700058 	0.2614639248 	0.2614639348 	0.2614639395
	0.0309391296 	0.0750767697 	0.2715739926 	0.2715740038 	0.2715740087
	0.0560479101 	0.0698645595 	0.2863842668 	0.2863842796 	0.2863842845
	0.0811566907 	0.0649336954 	0.3069069747 	0.3069069895 	0.3069069943
	0.1062654712 	0.0605419338 	0.3338488234 	0.3338488406 	0.3338488453
	0.1313742517 	0.0568871732 	0.3675090470 	0.3675090670 	0.3675090713
	0.1564830322 	0.0540955970 	0.4076999530 	0.4076999762 	0.4076999799
	0.1815918127 	0.0522159736 	0.4536997613 	0.4536997881 	0.4536997909
	0.2067005932 	0.0512202731 	0.5042457468 	0.5042457775 	0.5042457791
	0.2318093737 	0.0510102331 	0.5575727795 	0.5575728141 	0.5575728142
	0.2569181543 	0.0514290533 	0.6114984083 	0.6114984470 	0.6114984451
	0.2820269348 	0.0522770401 	0.6635509560 	0.6635509987 	0.6635509945
	0.3071357153 	0.0533297701 	0.7111321622 	0.7111322084 	0.7111322017
	0.3322444958 	0.0543572023 	0.7517013767 	0.7517014261 	0.7517014167
	0.3573532763 	0.0551421527 	0.7829648629 	0.7829649147 	0.7829649026
	0.3824620568 	0.0554966489 	0.8030520412 	0.8030520948 	0.8030520799
	0.4075708374 	0.0552749104 	0.8106609400 	0.8106609944 	0.8106609769
	0.4326796179 	0.0543820351 	0.8051578246 	0.8051578790 	0.8051578592
	0.4577883984 	0.0527778914 	0.7866207263 	0.7866207798 	0.7866207580
	0.4828971789 	0.0504761820 	0.7558227815 	0.7558228332 	0.7558228100
	0.5080059594 	0.0475391045 	0.7141580727 	0.7141581218 	0.7141580978
	0.5331147399 	0.0440684369 	0.6635190542 	0.6635191000 	0.6635190758
	0.5582235204 	0.0401941775 	0.6061397366 	0.6061397787 	0.6061397547
	0.5833323010 	0.0360620224 	0.5444218948 	0.5444219328 	0.5444219096
	0.6084410815 	0.0318209685 	0.4807623008 	0.4807623345 	0.4807623126
	0.6335498620 	0.0276121840 	0.4173974073 	0.4173974367 	0.4173974165
	0.6586586425 	0.0235600244 	0.3562784095 	0.3562784347 	0.3562784164
	0.6837674230 	0.0197657353 	0.2989848734 	0.2989848947 	0.2989848784
	0.7088762035 	0.0163040258 	0.2466799253 	0.2466799429 	0.2466799287
	0.7339849841 	0.0132223645 	0.2001051305 	0.2001051448 	0.2001051327
	0.7590937646 	0.0105425893 	0.1596092808 	0.1596092923 	0.1596092821
	0.7842025451 	0.0082642498 	0.1252027451 	0.1252027541 	0.1252027457
	0.8093113256 	0.0063690324 	0.0966279462 	0.0966279532 	0.0966279463
	0.8344201061 	0.0048256356 	0.0734367909 	0.0734367961 	0.0734367906
	0.8595288866 	0.0035945509 	0.0550671872 	0.0550671910 	0.0550671865
	0.8846376671 	0.0026323427 	0.0409127442 	0.0409127468 	0.0409127430
	0.9097464477 	0.0018951647 	0.0303819266 	0.0303819282 	0.0303819248
	0.9348552282 	0.0013413977 	0.0229449740 	0.0229449748 	0.0229449715
	0.9599640087 	0.0009334128 	0.0181685179 	0.0181685178 	0.0181685143
	0.9850727892 	0.0006385505 	0.0157388858 	0.0157388848 	0.0157388806
	1.0101815697 	0.0004294591 	0.0154755491 	0.0154755471 	0.0154755418
	1.0352903502 	0.0002839575 	0.0173361066 	0.0173361035 	0.0173360965
	1.0603991308 	0.0001845821 	0.0214137484 	0.0214137438 	0.0214137346
	1.0855079113 	0.0001179589 	0.0279275011 	0.0279274946 	0.0279274826
	1.1106166918 	0.0000741099 	0.0372049202 	0.0372049114 	0.0372048959
	1.1357254723 	0.0000457748 	0.0496564630 	0.0496564513 	0.0496564315
	1.1608342528 	0.0000277960 	0.0657407147 	0.0657406994 	0.0657406748
	1.1859430333 	0.0000165936 	0.0859200604 	0.0859200409 	0.0859200107
	1.2110518138 	0.0000097388 	0.1106073234 	0.1106072990 	0.1106072628
	1.2361605944 	0.0000056192 	0.1401052756 	0.1401052456 	0.1401052033
	1.2612693749 	0.0000031875 	0.1745425965 	0.1745425602 	0.1745425118
	1.2863781554 	0.0000017776 	0.2138115637 	0.2138115207 	0.2138114667
	1.3114869359 	0.0000009746 	0.2575141776 	0.2575141274 	0.2575140688
	1.3365957164 	0.0000005253 	0.3049241959 	0.3049241385 	0.3049240766
	1.3617044969 	0.0000002783 	0.3549723960 	0.3549723316 	0.3549722684
	1.3868132775 	0.0000001450 	0.4062610684 	0.4062609972 	0.4062609350
	1.4119220580 	0.0000000743 	0.4571112699 	0.4571111929 	0.4571111343
	1.4370308385 	0.0000000374 	0.5056429031 	0.5056428212 	0.5056427690
	1.4621396190 	0.0000000185 	0.5498836274 	0.5498835419 	0.5498834988
	1.4872483995 	0.0000000090 	0.5878985302 	0.5878984427 	0.5878984112
	1.5123571800 	0.0000000043 	0.6179290235 	0.6179289356 	0.6179289179
	1.5374659605 	0.0000000020 	0.6385272147 	0.6385271280 	0.6385271256
	1.5625747411 	0.0000000009 	0.6486714925 	0.6486714086 	0.6486714224
	1.5876835216 	0.0000000004 	0.6478504830 	0.6478504035 	0.6478504334
	1.6127923021 	0.0000000002 	0.6361057670 	0.6361056931 	0.6361057382
	1.6379010826 	0.0000000001 	0.6140283861 	0.6140283188 	0.6140283777
	1.6630098631 	0.0000000000 	0.5827095472 	0.5827094872 	0.5827095575
	1.6881186436 	0.0000000000 	0.5436512459 	0.5436511935 	0.5436512726
	1.7132274241 	0.0000000000 	0.4986470004 	0.4986469555 	0.4986470406
	1.7383362047 	0.0000000000 	0.4496458653 	0.4496458278 	0.4496459156
	1.7634449852 	0.0000000000 	0.3986140204 	0.3986139897 	0.3986140775
	1.7885537657 	0.0000000000 	0.3474074391 	0.3474074147 	0.3474074999
	1.8136625462 	0.0000000000 	0.2976666979 	0.2976666789 	0.2976667593
	1.8387713267 	0.0000000000 	0.2507413800 	0.2507413657 	0.2507414396
	1.8638801072 	0.0000000000 	0.2076473931 	0.2076473826 	0.2076474490
	1.8889888878 	0.0000000000 	0.1690564977 	0.1690564902 	0.1690565485
	1.9140976683 	0.0000000000 	0.1353139783 	0.1353139732 	0.1353140232
	1.9392064488 	0.0000000000 	0.1064780489 	0.1064780456 	0.1064780876
	1.9643152293 	0.0000000000 	0.0823734219 	0.0823734199 	0.0823734544
	1.9894240098 	0.0000000000 	0.0626514318 	0.0626514307 	0.0626514585
	2.0145327903 	0.0000000000 	0.0468499930 	0.0468499925 	0.0468500145
	2.0396415708 	0.0000000000 	0.0344481666 	0.0344481664 	0.0344481834
	2.0647503514 	0.0000000000 	0.0249118956 	0.0249118956 	0.0249119085
	2.0898591319 	0.0000000000 	0.0177292389 	0.0177292390 	0.0177292484
	2.1149679124 	0.0000000000 	0.0124349625 	0.0124349626 	0.0124349694
	2.1400766929 	0.0000000000 	0.0086255033 	0.0086255034 	0.0086255081
	2.1651854734 	0.0000000000 	0.0059660479 	0.0059660479 	0.0059660509
	2.1902942539 	0.0000000000 	0.0041917966 	0.0041917965 	0.0041917980
	2.2154030345 	0.0000000000 	0.0031054752 	0.0031054749 	0.0031054752
	2.2405118150 	0.0000000000 	0.0025729035 	0.0025729030 	0.0025729020
	2.2656205955 	0.0000000000 	0.0025180216 	0.0025180209 	0.0025180185
	2.2907293760 	0.0000000000 	0.0029182948 	0.0029182937 	0.0029182896
	2.3158381565 	0.0000000000 	0.0038009152 	0.0038009137 	0.0038009074
	2.3409469370 	0.0000000000 	0.0052397522 	0.0052397500 	0.0052397410
	2.3660557175 	0.0000000000 	0.0073525831 	0.0073525801 	0.0073525675
	2.3911644981 	0.0000000000 	0.0102978113 	0.0102978073 	0.0102977903
	2.4162732786 	0.0000000000 	0.0142696533 	0.0142696480 	0.0142696254
	2.4413820591 	0.0000000000 	0.0194906940 	0.0194906871 	0.0194906578
	2.4664908396 	0.0000000000 	0.0262007970 	0.0262007883 	0.0262007510
	2.4915996201 	0.0000000000 	0.0346416339 	0.0346416231 	0.0346415766
	2.5167084006 	0.0000000000 	0.0450365840 	0.0450365710 	0.0450365142
	2.5418171812 	0.0000000000 	0.0575664256 	0.0575664103 	0.0575663424
	2.5669259617 	0.0000000000 	0.0723420515 	0.0723420337 	0.0723419543
	2.5920347422 	0.0000000000 	0.0893762915 	0.0893762715 	0.0893761808
	2.6171435227 	0.0000000000 	0.1085576947 	0.1085576728 	0.1085575715
	2.6422523032 	0.0000000000 	0.1296296546 	0.1296296312 	0.1296295209
	2.6673610837 	0.0000000000 	0.1521784136 	0.1521783894 	0.1521782724
	2.6924698642 	0.0000000000 	0.1756331378 	0.1756331137 	0.1756329931
	2.7175786448 	0.0000000000 	0.1992803597 	0.1992803367 	0.1992802161
	2.7426874253 	0.0000000000 	0.2222936875 	0.2222936667 	0.2222935504
	2.7677962058 	0.0000000000 	0.2437779052 	0.2437778876 	0.2437777801
	2.7929049863 	0.0000000000 	0.2628246677 	0.2628246545 	0.2628245602
	2.8180137668 	0.0000000000 	0.2785752169 	0.2785752090 	0.2785751319
	2.8431225473 	0.0000000000 	0.2902842013 	0.2902841993 	0.2902841428
	2.8682313279 	0.0000000000 	0.2973780377 	0.2973780421 	0.2973780086
	2.8933401084 	0.0000000000 	0.2995014651 	0.2995014760 	0.2995014669
	2.9184488889 	0.0000000000 	0.2965470306 	0.2965470478 	0.2965470631
	2.9435576694 	0.0000000000 	0.2886641005 	0.2886641236 	0.2886641621
	2.9686664499 	0.0000000000 	0.2762463459 	0.2762463739 	0.2762464334
	2.9937752304 	0.0000000000 	0.2598991600 	0.2598991919 	0.2598992693
	3.0188840109 	0.0000000000 	0.2403907642 	0.2403907990 	0.2403908903
	3.0439927915 	0.0000000000 	0.2185924959 	0.2185925322 	0.2185926332
	3.0691015720 	0.0000000000 	0.1954147260 	0.1954147628 	0.1954148690
	3.0942103525 	0.0000000000 	0.1717449183 	0.1717449543 	0.1717450618
	3.1193191330 	0.0000000000 	0.1483935662 	0.1483936005 	0.1483937056
	3.1444279135 	0.0000000000 	0.1260523122 	0.1260523441 	0.1260524437
	3.1695366940 	0.0000000000 	0.1052667293 	0.1052667583 	0.1052668501
	3.1946454745 	0.0000000000 	0.0864243279 	0.0864243535 	0.0864244360
	3.2197542551 	0.0000000000 	0.0697566251 	0.0697566473 	0.0697567196
	3.2448630356 	0.0000000000 	0.0553527853 	0.0553528041 	0.0553528660
	3.2699718161 	0.0000000000 	0.0431815340 	0.0431815496 	0.0431816014
	3.2950805966 	0.0000000000 	0.0331177804 	0.0331177931 	0.0331178355
	3.3201893771 	0.0000000000 	0.0249705981 	0.0249706082 	0.0249706423
	3.3452981576 	0.0000000000 	0.0185097792 	0.0185097871 	0.0185098138
	3.3704069382 	0.0000000000 	0.0134889486 	0.0134889546 	0.0134889752
	3.3955157187 	0.0000000000 	0.0096640580 	0.0096640625 	0.0096640781
	3.4206244992 	0.0000000000 	0.0068068397 	0.0068068431 	0.0068068546
	3.4457332797 	0.0000000000 	0.0047134195 	0.0047134219 	0.0047134303
	3.4708420602 	0.0000000000 	0.0032087156 	0.0032087173 	0.0032087233
	3.4959508407 	0.0000000000 	0.0021474889 	0.0021474901 	0.0021474943
	3.5210596212 	0.0000000000 	0.0014129774 	0.0014129782 	0.0014129810
	3.5461684018 	0.0000000000 	0.0009139955 	0.0009139960 	0.0009139979
	3.5712771823 	0.0000000000 	0.0005812426 	0.0005812430 	0.0005812442
	3.5963859628 	0.0000000000 	0.0003633921 	0.0003633923 	0.0003633931
	3.6214947433 	0.0000000000 	0.0002233562 	0.0002233563 	0.0002233569
	3.6466035238 	0.0000000000 	0.0001349662 	0.0001349663 	0.0001349666
	3.6717123043 	0.0000000000 	0.0000801783 	0.0000801783 	0.0000801785
	3.6968210849 	0.0000000000 	0.0000468266 	0.0000468267 	0.0000468268
	3.7219298654 	0.0000000000 	0.0000268865 	0.0000268865 	0.0000268866
	3.7470386459 	0.0000000000 	0.0000151768 	0.0000151768 	0.0000151768
	3.7721474264 	0.0000000000 	0.0000084223 	0.0000084223 	0.0000084223
	3.7972562069 	0.0000000000 	0.0000045950 	0.0000045950 	0.0000045950
	3.8223649874 	0.0000000000 	0.0000024646 	0.0000024646 	0.0000024646
	3.8474737679 	0.0000000000 	0.0000012996 	0.0000012996 	0.0000012996
	3.8725825485 	0.0000000000 	0.0000006737 	0.0000006737 	0.0000006737
	3.8976913290 	0.0000000000 	0.0000003434 	0.0000003434 	0.0000003434
	3.9228001095 	0.0000000001 	0.0000001722 	0.0000001722 	0.0000001722
	3.9479088900 	0.0000000002 	0.0000000852 	0.0000000852 	0.0000000852
	3.9730176705 	0.0000000004 	0.0000000420 	0.0000000420 	0.0000000420
	3.9981264510 	0.0000000009 	0.0000000217 	0.0000000217 	0.0000000217
	4.0232352316 	0.0000000019 	0.0000000138 	0.0000000138 	0.0000000138
	4.0483440121 	0.0000000041 	0.0000000142 	0.0000000142 	0.0000000142
	4.0734527926 	0.0000000087 	0.0000000229 	0.0000000229 	0.0000000229
	4.0985615731 	0.0000000182 	0.0000000446 	0.0000000446 	0.0000000446
	4.1236703536 	0.0000000372 	0.0000000897 	0.0000000897 	0.0000000897
	4.1487791341 	0.0000000750 	0.0000001796 	0.0000001796 	0.0000001796
	4.1738879146 	0.0000001484 	0.0000003545 	0.0000003545 	0.0000003545
	4.1989966952 	0.0000002889 	0.0000006883 	0.0000006883 	0.0000006883
	4.2241054757 	0.0000005530 	0.0000013140 	0.0000013140 	0.0000013140
	4.2492142562 	0.0000010407 	0.0000024664 	0.0000024664 	0.0000024664
	4.2743230367 	0.0000019255 	0.0000045516 	0.0000045516 	0.0000045516
	4.2994318172 	0.0000035027 	0.0000082584 	0.0000082584 	0.0000082584
	4.3245405977 	0.0000062647 	0.0000147319 	0.0000147319 	0.0000147320
	4.3496493782 	0.0000110162 	0.0000258376 	0.0000258376 	0.0000258376
	4.3747581588 	0.0000190462 	0.0000445526 	0.0000445526 	0.0000445527
	4.3998669393 	0.0000323757 	0.0000755310 	0.0000755311 	0.0000755312
	4.4249757198 	0.0000541091 	0.0001258949 	0.0001258949 	0.0001258951
	4.4500845003 	0.0000889118 	0.0002063105 	0.0002063105 	0.0002063109
	4.4751932808 	0.0001436442 	0.0003324034 	0.0003324035 	0.0003324041
	4.5003020613 	0.0002281685 	0.0005265516 	0.0005265516 	0.0005265525
	4.5254108419 	0.0003563382 	0.0008200640 	0.0008200641 	0.0008200654
	4.5505196224 	0.0005471527 	0.0012557011 	0.0012557013 	0.0012557032
	4.5756284029 	0.0008260268 	0.0018904133 	0.0018904136 	0.0018904164
	4.6007371834 	0.0012260814 	0.0027980756 	0.0027980760 	0.0027980799
	4.6258459639 	0.0017893042 	0.0040718762 	0.0040718766 	0.0040718820
	4.6509547444 	0.0025673724 	0.0058258909 	0.0058258915 	0.0058258988
	4.6760635249 	0.0036218749 	0.0081952660 	0.0081952667 	0.0081952765
