
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.672
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.673
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-7.1528977551 	0.3076145719 	0.0907410526 	0.0907410258 	0.0907410413
	-7.1278454563 	0.3394498070 	0.1001319041 	0.1001318744 	0.1001318916
	-7.1027931574 	0.3682833038 	0.1086372939 	0.1086372617 	0.1086372804
	-7.0777408586 	0.3928495841 	0.1158839276 	0.1158838933 	0.1158839132
	-7.0526885598 	0.4120105793 	0.1215360944 	0.1215360585 	0.1215360793
	-7.0276362610 	0.4248427785 	0.1253213744 	0.1253213372 	0.1253213588
	-7.0025839622 	0.4307109530 	0.1270523858 	0.1270523481 	0.1270523700
	-6.9775316633 	0.4293202706 	0.1266421582 	0.1266421207 	0.1266421424
	-6.9524793645 	0.4207408457 	0.1241113741 	0.1241113374 	0.1241113587
	-6.9274270657 	0.4054018810 	0.1195866412 	0.1195866057 	0.1195866263
	-6.9023747669 	0.3840560812 	0.1132899942 	0.1132899607 	0.1132899802
	-6.8773224681 	0.3577184462 	0.1055208411 	0.1055208098 	0.1055208280
	-6.8522701693 	0.3275863733 	0.0966323934 	0.0966323648 	0.0966323814
	-6.8272178704 	0.2949498116 	0.0870051643 	0.0870051386 	0.0870051535
	-6.8021655716 	0.2611008111 	0.0770202864 	0.0770202636 	0.0770202769
	-6.7771132728 	0.2272511667 	0.0670352186 	0.0670351988 	0.0670352103
	-6.7520609740 	0.1944651688 	0.0573639084 	0.0573638914 	0.0573639012
	-6.7270086752 	0.1636120669 	0.0482627695 	0.0482627552 	0.0482627635
	-6.7019563764 	0.1353401459 	0.0399230349 	0.0399230231 	0.0399230300
	-6.6769040775 	0.1100717198 	0.0324692802 	0.0324692705 	0.0324692761
	-6.6518517787 	0.0880162106 	0.0259632811 	0.0259632734 	0.0259632779
	-6.6267994799 	0.0691970188 	0.0204119404 	0.0204119344 	0.0204119379
	-6.6017471811 	0.0534872050 	0.0157778133 	0.0157778086 	0.0157778113
	-6.5766948823 	0.0406490338 	0.0119907717 	0.0119907682 	0.0119907703
	-6.5516425834 	0.0303730464 	0.0089595307 	0.0089595281 	0.0089595296
	-6.5265902846 	0.0223133247 	0.0065820502 	0.0065820483 	0.0065820494
	-6.5015379858 	0.0161167707 	0.0047541725 	0.0047541711 	0.0047541719
	-6.4764856870 	0.0114453635 	0.0033761870 	0.0033761860 	0.0033761866
	-6.4514333882 	0.0079913294 	0.0023573057 	0.0023573050 	0.0023573054
