
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.672
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.610
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-1.2906598317 	0.0000000006 	0.0000000013 	0.0000000013 	0.0000000013
	-1.2656075329 	0.0000000012 	0.0000000027 	0.0000000027 	0.0000000027
	-1.2405552341 	0.0000000024 	0.0000000057 	0.0000000057 	0.0000000057
	-1.2155029353 	0.0000000051 	0.0000000120 	0.0000000120 	0.0000000120
	-1.1904506365 	0.0000000105 	0.0000000248 	0.0000000248 	0.0000000248
	-1.1653983376 	0.0000000215 	0.0000000505 	0.0000000505 	0.0000000505
	-1.1403460388 	0.0000000430 	0.0000001012 	0.0000001012 	0.0000001012
	-1.1152937400 	0.0000000848 	0.0000001993 	0.0000001993 	0.0000001993
	-1.0902414412 	0.0000001643 	0.0000003861 	0.0000003861 	0.0000003861
	-1.0651891424 	0.0000003129 	0.0000007354 	0.0000007354 	0.0000007354
	-1.0401368436 	0.0000005858 	0.0000013771 	0.0000013771 	0.0000013771
	-1.0150845447 	0.0000010786 	0.0000025352 	0.0000025352 	0.0000025352
	-0.9900322459 	0.0000019523 	0.0000045891 	0.0000045891 	0.0000045891
	-0.9649799471 	0.0000034745 	0.0000081670 	0.0000081671 	0.0000081671
	-0.9399276483 	0.0000060796 	0.0000142904 	0.0000142905 	0.0000142904
	-0.9148753495 	0.0000104590 	0.0000245846 	0.0000245846 	0.0000245846
	-0.8898230507 	0.0000176907 	0.0000415832 	0.0000415833 	0.0000415833
	-0.8647707518 	0.0000294197 	0.0000691530 	0.0000691532 	0.0000691532
	-0.8397184530 	0.0000481026 	0.0001130687 	0.0001130690 	0.0001130689
	-0.8146661542 	0.0000773281 	0.0001817655 	0.0001817660 	0.0001817659
	-0.7896138554 	0.0001222205 	0.0002872887 	0.0002872895 	0.0002872893
	-0.7645615566 	0.0001899278 	0.0004464407 	0.0004464418 	0.0004464416
	-0.7395092577 	0.0002901822 	0.0006820986 	0.0006821004 	0.0006821000
	-0.7144569589 	0.0004359041 	0.0010246344 	0.0010246370 	0.0010246364
	-0.6894046601 	0.0006437972 	0.0015133148 	0.0015133186 	0.0015133179
	-0.6643523613 	0.0009348570 	0.0021974986 	0.0021975042 	0.0021975030
	-0.6393000625 	0.0013346867 	0.0031373821 	0.0031373901 	0.0031373885
	-0.6142477637 	0.0018734913 	0.0044039912 	0.0044040024 	0.0044040001
	-0.5891954648 	0.0025856062 	0.0060780847 	0.0060781002 	0.0060780970
	-0.5641431660 	0.0035084205 	0.0082476432 	0.0082476642 	0.0082476599
	-0.5390908672 	0.0046805817 	0.0110036809 	0.0110037089 	0.0110037031
	-0.5140385684 	0.0061394212 	0.0144342519 	0.0144342887 	0.0144342811
	-0.4889862696 	0.0079176291 	0.0186167258 	0.0186167732 	0.0186167635
	-0.4639339708 	0.0100393136 	0.0236086745 	0.0236087346 	0.0236087224
	-0.4388816719 	0.0125157100 	0.0294380215 	0.0294380965 	0.0294380812
	-0.4138293731 	0.0153409298 	0.0360934090 	0.0360935010 	0.0360934822
	-0.3887770743 	0.0184882425 	0.0435159991 	0.0435161101 	0.0435160875
	-0.3637247755 	0.0219074438 	0.0515940724 	0.0515942040 	0.0515941772
	-0.3386724767 	0.0255238513 	0.0601617816 	0.0601619352 	0.0601619040
	-0.3136201778 	0.0292393812 	0.0690032139 	0.0690033903 	0.0690033546
	-0.2885678790 	0.0329359840 	0.0778625043 	0.0778627038 	0.0778626636
	-0.2635155802 	0.0364814694 	0.0864601485 	0.0864603705 	0.0864603260
	-0.2384632814 	0.0397374615 	0.0945149361 	0.0945151797 	0.0945151312
	-0.2134109826 	0.0425689243 	0.1017701549 	0.1017704185 	0.1017703665
	-0.1883586838 	0.0448544382 	0.1080219959 	0.1080222776 	0.1080222228
	-0.1633063849 	0.0464962327 	0.1131475285 	0.1131478264 	0.1131477694
	-0.1382540861 	0.0474289189 	0.1171292929 	0.1171296050 	0.1171295467
	-0.1132017873 	0.0476259418 	0.1200735376 	0.1200738629 	0.1200738037
	-0.0881494885 	0.0471029788 	0.1222194262 	0.1222197644 	0.1222197049
	-0.0630971897 	0.0459178242 	0.1239371305 	0.1239374826 	0.1239374230
	-0.0380448909 	0.0441666765 	0.1257135705 	0.1257139392 	0.1257138793
	-0.0129925920 	0.0419771341 	0.1281255776 	0.1281259672 	0.1281259066
	0.0120597068 	0.0394985530 	0.1318013645 	0.1318017813 	0.1318017187
	0.0371120056 	0.0368906814 	0.1373723111 	0.1373727631 	0.1373726968
	0.0621643044 	0.0343116362 	0.1454181351 	0.1454186318 	0.1454185594
	0.0872166032 	0.0319063049 	0.1564094407 	0.1564099922 	0.1564099108
	0.1122689021 	0.0297961702 	0.1706523473 	0.1706529644 	0.1706528705
	0.1373212009 	0.0280713651 	0.1882403117 	0.1882410046 	0.1882408941
	0.1623734997 	0.0267855214 	0.2090182685 	0.2090190459 	0.2090189146
	0.1874257985 	0.0259537000 	0.2325637504 	0.2325646188 	0.2325644626
	0.2124780973 	0.0255534171 	0.2581886391 	0.2581896020 	0.2581894168
	0.2375303961 	0.0255285279 	0.2849636370 	0.2849646940 	0.2849644764
	0.2625826950 	0.0257955189 	0.3117655109 	0.3117666575 	0.3117664050
	0.2876349938 	0.0262515959 	0.3373448056 	0.3373460330 	0.3373457442
	0.3126872926 	0.0267838404 	0.3604093207 	0.3604106156 	0.3604102906
	0.3377395914 	0.0272786563 	0.3797165075 	0.3797178530 	0.3797174934
	0.3627918902 	0.0276307309 	0.3941664181 	0.3941677941 	0.3941674031
	0.3878441890 	0.0277508016 	0.4028862139 	0.4028875986 	0.4028871809
	0.4128964879 	0.0275716423 	0.4052977029 	0.4052990735 	0.4052986353
	0.4379487867 	0.0270518592 	0.4011609395 	0.4011622735 	0.4011618221
	0.4630010855 	0.0261772976 	0.3905894391 	0.3905907158 	0.3905902591
	0.4880533843 	0.0249600936 	0.3740356990 	0.3740369003 	0.3740364465
	0.5131056831 	0.0234356238 	0.3522490496 	0.3522501606 	0.3522497179
	0.5381579820 	0.0216577973 	0.3262108972 	0.3262119074 	0.3262114832
	0.5632102808 	0.0196932686 	0.2970547421 	0.2970556449 	0.2970552457
	0.5882625796 	0.0176152075 	0.2659796400 	0.2659804329 	0.2659800639
	0.6133148784 	0.0154972541 	0.2341659001 	0.2341665847 	0.2341662497
	0.6383671772 	0.0134081962 	0.2027008271 	0.2027014079 	0.2027011092
	0.6634194760 	0.0114077719 	0.1725204443 	0.1725209286 	0.1725206670
	0.6884717749 	0.0095438299 	0.1443707332 	0.1443711301 	0.1443709050
	0.7135240737 	0.0078509028 	0.1187893748 	0.1187896943 	0.1187895042
	0.7385763725 	0.0063500947 	0.0961066593 	0.0961069119 	0.0961067544
	0.7636286713 	0.0050500606 	0.0764624240 	0.0764626199 	0.0764624921
	0.7886809701 	0.0039487831 	0.0598347567 	0.0598349056 	0.0598348043
	0.8137332689 	0.0030358230 	0.0460757957 	0.0460759062 	0.0460758284
	0.8387855678 	0.0022947399 	0.0349501953 	0.0349502745 	0.0349502176
	0.8638378666 	0.0017054244 	0.0261725416 	0.0261725953 	0.0261725572
	0.8888901654 	0.0012461554 	0.0194410010 	0.0194410335 	0.0194410130
	0.9139424642 	0.0008952653 	0.0144655519 	0.0144655658 	0.0144655629
	0.9389947630 	0.0006323689 	0.0109901249 	0.0109901212 	0.0109901373
	0.9640470619 	0.0004391653 	0.0088087275 	0.0088087053 	0.0088087434
	0.9890993607 	0.0002998638 	0.0077761010 	0.0077760577 	0.0077761228
	1.0141516595 	0.0002013067 	0.0078136377 	0.0078135687 	0.0078136677
	1.0392039583 	0.0001328712 	0.0089112174 	0.0089111162 	0.0089112583
	1.0642562571 	0.0000862266 	0.0111253823 	0.0111252402 	0.0111254369
	1.0893085559 	0.0000550161 	0.0145739449 	0.0145737511 	0.0145740163
	1.1143608548 	0.0000345125 	0.0194268212 	0.0194265631 	0.0194269123
	1.1394131536 	0.0000212863 	0.0258926941 	0.0258923574 	0.0258928077
	1.1644654524 	0.0000129081 	0.0342011147 	0.0342006839 	0.0342012527
	1.1895177512 	0.0000076959 	0.0445798928 	0.0445793520 	0.0445800562
	1.2145700500 	0.0000045113 	0.0572281220 	0.0572274559 	0.0572283100
	1.2396223488 	0.0000026000 	0.0722858898 	0.0722850847 	0.0722860995
	1.2646746477 	0.0000014733 	0.0898025570 	0.0898016025 	0.0898027831
	1.2897269465 	0.0000008208 	0.1097063189 	0.1097052086 	0.1097065527
	1.3147792453 	0.0000004496 	0.1317784207 	0.1317771544 	0.1317786507
	1.3398315441 	0.0000002421 	0.1556357314 	0.1556343153 	0.1556359429
	1.3648838429 	0.0000001282 	0.1807252203 	0.1807236683 	0.1807253961
	1.3899361418 	0.0000000667 	0.2063331668 	0.2063315004 	0.2063332878
	1.4149884406 	0.0000000342 	0.2316106406 	0.2316088883 	0.2316106869
	1.4400407394 	0.0000000172 	0.2556150401 	0.2556132369 	0.2556149924
	1.4650930382 	0.0000000085 	0.2773654672 	0.2773636524 	0.2773653084
	1.4901453370 	0.0000000041 	0.2959077287 	0.2959059438 	0.2959074449
	1.5151976358 	0.0000000020 	0.3103831169 	0.3103814034 	0.3103826993
	1.5402499347 	0.0000000009 	0.3200941240 	0.3200925204 	0.3200935696
	1.5653022335 	0.0000000004 	0.3245601001 	0.3245586401 	0.3245594126
	1.5903545323 	0.0000000002 	0.3235566751 	0.3235553851 	0.3235558648
	1.6154068311 	0.0000000001 	0.3171344376 	0.3171333353 	0.3171335209
	1.6404591299 	0.0000000000 	0.3056147067 	0.3056138006 	0.3056137051
	1.6655114287 	0.0000000000 	0.2895628867 	0.2895621762 	0.2895618259
	1.6905637276 	0.0000000000 	0.2697424818 	0.2697419579 	0.2697413894
	1.7156160264 	0.0000000000 	0.2470549752 	0.2470546216 	0.2470538792
	1.7406683252 	0.0000000000 	0.2224721561 	0.2224719514 	0.2224710832
	1.7657206240 	0.0000000000 	0.1969679344 	0.1969678539 	0.1969669084
	1.7907729228 	0.0000000000 	0.1714562064 	0.1714562240 	0.1714552471
	1.8158252217 	0.0000000000 	0.1467400689 	0.1467401589 	0.1467391912
	1.8408775205 	0.0000000000 	0.1234758691 	0.1234760080 	0.1234750828
	1.8659298193 	0.0000000000 	0.1021535394 	0.1021537065 	0.1021528494
	1.8909821181 	0.0000000000 	0.0830927088 	0.0830928872 	0.0830921155
	1.9160344169 	0.0000000000 	0.0664524686 	0.0664526452 	0.0664519684
	1.9410867157 	0.0000000000 	0.0522515670 	0.0522517326 	0.0522511535
	1.9661390146 	0.0000000000 	0.0403952853 	0.0403954339 	0.0403949501
	1.9911913134 	0.0000000000 	0.0307052694 	0.0307053981 	0.0307050028
	2.0162436122 	0.0000000000 	0.0229490561 	0.0229491640 	0.0229488480
	2.0412959110 	0.0000000000 	0.0168667846 	0.0168668724 	0.0168666253
	2.0663482098 	0.0000000000 	0.0121934647 	0.0121935343 	0.0121933451
	2.0914005086 	0.0000000000 	0.0086760364 	0.0086760902 	0.0086759485
	2.1164528075 	0.0000000000 	0.0060851975 	0.0060852380 	0.0060851344
	2.1415051063 	0.0000000000 	0.0042225273 	0.0042225570 	0.0042224834
	2.1665574051 	0.0000000000 	0.0029237816 	0.0029238027 	0.0029237524
	2.1916097039 	0.0000000000 	0.0020593809 	0.0020593953 	0.0020593631
	2.2166620027 	0.0000000000 	0.0015331036 	0.0015331127 	0.0015330951
	2.2417143016 	0.0000000000 	0.0012798641 	0.0012798690 	0.0012798638
	2.2667666004 	0.0000000000 	0.0012632545 	0.0012632558 	0.0012632620
	2.2918188992 	0.0000000000 	0.0014732884 	0.0014732864 	0.0014733044
	2.3168711980 	0.0000000000 	0.0019245438 	0.0019245383 	0.0019245697
	2.3419234968 	0.0000000000 	0.0026546672 	0.0026546578 	0.0026547052
	2.3669757956 	0.0000000000 	0.0037230035 	0.0037229893 	0.0037230565
	2.3920280945 	0.0000000000 	0.0052089532 	0.0052089331 	0.0052090247
	2.4170803933 	0.0000000000 	0.0072095536 	0.0072095262 	0.0072096478
	2.4421326921 	0.0000000000 	0.0098357421 	0.0098357055 	0.0098358631
	2.4671849909 	0.0000000000 	0.0132068049 	0.0132067571 	0.0132069570
	2.4922372897 	0.0000000000 	0.0174426572 	0.0174425959 	0.0174428441
	2.5172895886 	0.0000000000 	0.0226538391 	0.0226537620 	0.0226540636
	2.5423418874 	0.0000000000 	0.0289294474 	0.0289293521 	0.0289297107
	2.5673941862 	0.0000000000 	0.0363236199 	0.0363235043 	0.0363239212
	2.5924464850 	0.0000000000 	0.0448416081 	0.0448414704 	0.0448419438
	2.6174987838 	0.0000000000 	0.0544268498 	0.0544266886 	0.0544272133
	2.6425510826 	0.0000000000 	0.0649507104 	0.0649505253 	0.0649510917
	2.6676033815 	0.0000000000 	0.0762066338 	0.0762064252 	0.0762070196
	2.6926556803 	0.0000000000 	0.0879102678 	0.0879100369 	0.0879106418
	2.7177079791 	0.0000000000 	0.0997066882 	0.0997064374 	0.0997070319
	2.7427602779 	0.0000000000 	0.1111851554 	0.1111848881 	0.1111854488
	2.7678125767 	0.0000000000 	0.1219009630 	0.1219006835 	0.1219011862
	2.7928648755 	0.0000000000 	0.1314029976 	0.1314027109 	0.1314031320
	2.8179171744 	0.0000000000 	0.1392647530 	0.1392644646 	0.1392647829
	2.8429694732 	0.0000000000 	0.1451158859 	0.1451156015 	0.1451157998
	2.8680217720 	0.0000000000 	0.1486710829 	0.1486708080 	0.1486708745
	2.8930740708 	0.0000000000 	0.1497531115 	0.1497528514 	0.1497527807
	2.9181263696 	0.0000000000 	0.1483074637 	0.1483072225 	0.1483070162
	2.9431786685 	0.0000000000 	0.1444069061 	0.1444066874 	0.1444063537
	2.9682309673 	0.0000000000 	0.1382454104 	0.1382452163 	0.1382447698
	2.9932832661 	0.0000000000 	0.1301221658 	0.1301219976 	0.1301214578
	3.0183355649 	0.0000000000 	0.1204175114 	0.1204173691 	0.1204167588
	3.0433878637 	0.0000000000 	0.1095634791 	0.1095633618 	0.1095627059
	3.0684401625 	0.0000000000 	0.0980121202 	0.0980120262 	0.0980113493
	3.0934924614 	0.0000000000 	0.0862048214 	0.0862047483 	0.0862040738
	3.1185447602 	0.0000000000 	0.0745454485 	0.0745453936 	0.0745447417
	3.1435970590 	0.0000000000 	0.0633794564 	0.0633794167 	0.0633788043
	3.1686493578 	0.0000000000 	0.0529802119 	0.0529801846 	0.0529796239
	3.1937016566 	0.0000000000 	0.0435428323 	0.0435428147 	0.0435423139
	3.2187539554 	0.0000000000 	0.0351849923 	0.0351849821 	0.0351845450
	3.2438062543 	0.0000000000 	0.0279534908 	0.0279534858 	0.0279531128
	3.2688585531 	0.0000000000 	0.0218349621 	0.0218349606 	0.0218346492
	3.2939108519 	0.0000000000 	0.0167689796 	0.0167689803 	0.0167687258
	3.3189631507 	0.0000000000 	0.0126618929 	0.0126618948 	0.0126616910
	3.3440154495 	0.0000000000 	0.0094000126 	0.0094000151 	0.0093998551
	3.3690677484 	0.0000000000 	0.0068611362 	0.0068611387 	0.0068610157
	3.3941200472 	0.0000000000 	0.0049238118 	0.0049238142 	0.0049237213
	3.4191723460 	0.0000000000 	0.0034741187 	0.0034741208 	0.0034740521
	3.4442246448 	0.0000000000 	0.0024100478 	0.0024100496 	0.0024099997
	3.4692769436 	0.0000000000 	0.0016437830 	0.0016437843 	0.0016437488
	3.4943292424 	0.0000000000 	0.0011023033 	0.0011023043 	0.0011022795
	3.5193815413 	0.0000000000 	0.0007267675 	0.0007267683 	0.0007267512
	3.5444338401 	0.0000000000 	0.0004711159 	0.0004711164 	0.0004711049
	3.5694861389 	0.0000000000 	0.0003002602 	0.0003002606 	0.0003002530
	3.5945384377 	0.0000000000 	0.0001881506 	0.0001881509 	0.0001881459
	3.6195907365 	0.0000000000 	0.0001159181 	0.0001159183 	0.0001159151
	3.6446430353 	0.0000000000 	0.0000702158 	0.0000702159 	0.0000702139
	3.6696953342 	0.0000000000 	0.0000418173 	0.0000418174 	0.0000418162
	3.6947476330 	0.0000000000 	0.0000244858 	0.0000244859 	0.0000244851
	3.7197999318 	0.0000000000 	0.0000140965 	0.0000140965 	0.0000140961
	3.7448522306 	0.0000000000 	0.0000079790 	0.0000079790 	0.0000079787
	3.7699045294 	0.0000000000 	0.0000044404 	0.0000044404 	0.0000044402
	3.7949568283 	0.0000000000 	0.0000024296 	0.0000024296 	0.0000024295
	3.8200091271 	0.0000000000 	0.0000013070 	0.0000013070 	0.0000013070
	3.8450614259 	0.0000000000 	0.0000006913 	0.0000006913 	0.0000006913
	3.8701137247 	0.0000000000 	0.0000003595 	0.0000003595 	0.0000003595
	3.8951660235 	0.0000000000 	0.0000001838 	0.0000001838 	0.0000001838
	3.9202183223 	0.0000000000 	0.0000000925 	0.0000000925 	0.0000000925
	3.9452706212 	0.0000000001 	0.0000000459 	0.0000000459 	0.0000000459
	3.9703229200 	0.0000000002 	0.0000000226 	0.0000000226 	0.0000000226
	3.9953752188 	0.0000000004 	0.0000000116 	0.0000000116 	0.0000000116
	4.0204275176 	0.0000000009 	0.0000000071 	0.0000000071 	0.0000000071
	4.0454798164 	0.0000000019 	0.0000000069 	0.0000000069 	0.0000000069
	4.0705321152 	0.0000000040 	0.0000000107 	0.0000000107 	0.0000000107
	4.0955844141 	0.0000000083 	0.0000000205 	0.0000000205 	0.0000000205
	4.1206367129 	0.0000000171 	0.0000000412 	0.0000000412 	0.0000000412
	4.1456890117 	0.0000000344 	0.0000000826 	0.0000000826 	0.0000000826
	4.1707413105 	0.0000000682 	0.0000001630 	0.0000001630 	0.0000001630
	4.1957936093 	0.0000001329 	0.0000003167 	0.0000003167 	0.0000003167
	4.2208459082 	0.0000002545 	0.0000006050 	0.0000006050 	0.0000006051
	4.2458982070 	0.0000004794 	0.0000011365 	0.0000011365 	0.0000011366
	4.2709505058 	0.0000008877 	0.0000020992 	0.0000020992 	0.0000020994
	4.2960028046 	0.0000016164 	0.0000038124 	0.0000038124 	0.0000038127
	4.3210551034 	0.0000028939 	0.0000068077 	0.0000068076 	0.0000068082
	4.3461074022 	0.0000050943 	0.0000119528 	0.0000119526 	0.0000119535
	4.3711597011 	0.0000088177 	0.0000206346 	0.0000206343 	0.0000206359
	4.3962119999 	0.0000150074 	0.0000350258 	0.0000350253 	0.0000350279
	4.4212642987 	0.0000251145 	0.0000584578 	0.0000584572 	0.0000584612
	4.4463165975 	0.0000413253 	0.0000959316 	0.0000959305 	0.0000959369
	4.4713688963 	0.0000668620 	0.0001547906 	0.0001547889 	0.0001547989
	4.4964211951 	0.0001063689 	0.0002455793 	0.0002455768 	0.0002455920
	4.5214734940 	0.0001663883 	0.0003830923 	0.0003830887 	0.0003831114
	4.5465257928 	0.0002559193 	0.0005875976 	0.0005875923 	0.0005876256
	4.5715780916 	0.0003870401 	0.0008861791 	0.0008861716 	0.0008862197
	4.5966303904 	0.0005755479 	0.0013140998 	0.0013140893 	0.0013141574
	4.6216826892 	0.0008415498 	0.0019160228 	0.0019160085 	0.0019161031
	4.6467349881 	0.0012099043 	0.0027468742 	0.0027468552 	0.0027469841
	4.6717872869 	0.0017103902 	0.0038720670 	0.0038720422 	0.0038722145
	4.6968395857 	0.0023774560 	0.0053667727 	0.0053667410 	0.0053669671
	4.7218918845 	0.0032493982 	0.0073139168 	0.0073138773 	0.0073141680
	4.7469441833 	0.0043668335 	0.0098006198 	0.0098005718 	0.0098009383
	4.7719964821 	0.0057703702 	0.0129129067 	0.0129128498 	0.0129133027
	4.7970487810 	0.0074974594 	0.0167286795 	0.0167286140 	0.0167291620
	4.8221010798 	0.0095785120 	0.0213091787 	0.0213091057 	0.0213097551
	4.8471533786 	0.0120324901 	0.0266894358 	0.0266893574 	0.0266901103
	4.8722056774 	0.0148623188 	0.0328685036 	0.0328684229 	0.0328692762
	4.8972579762 	0.0180505848 	0.0398005018 	0.0398004231 	0.0398013680
	4.9223102750 	0.0215560743 	0.0473876814 	0.0473876102 	0.0473886310
	4.9473625739 	0.0253117280 	0.0554767339 	0.0554766767 	0.0554777510
	4.9724148727 	0.0292245397 	0.0638594298 	0.0638593937 	0.0638604928
	4.9974671715 	0.0331777823 	0.0722783326 	0.0722783251 	0.0722794151
	5.0225194703 	0.0370357237 	0.0804378323 	0.0804378607 	0.0804389043
	5.0475717691 	0.0406507106 	0.0880201168 	0.0880201878 	0.0880211463
	5.0726240680 	0.0438721868 	0.0947050358 	0.0947051547 	0.0947059910
	5.0976763668 	0.0465569217 	0.1001922091 	0.1001923795 	0.1001930603
	5.1227286656 	0.0485795029 	0.1042232890 	0.1042235121 	0.1042240107
	5.1477809644 	0.0498420273 	0.1066020922 	0.1066023668 	0.1066026651
	5.1728332632 	0.0502819533 	0.1072104212 	0.1072107435 	0.1072108332
	5.1978855620 	0.0498772351 	0.1060177976 	0.1060181616 	0.1060180450
	5.2229378609 	0.0486481536 	0.1030839937 	0.1030843911 	0.1030840807
	5.2479901597 	0.0466556325 	0.0985540668 	0.0985544879 	0.0985540052
	5.2730424585 	0.0439962327 	0.0926464733 	0.0926469074 	0.0926462813
	5.2980947573 	0.0407943996 	0.0856356165 	0.0856360526 	0.0856353168
	5.3231470561 	0.0371928274 	0.0778307691 	0.0778311969 	0.0778303874
	5.3481993549 	0.0333419797 	0.0695536187 	0.0695540287 	0.0695531813
	5.3732516538 	0.0293898282 	0.0611166874 	0.0611170717 	0.0611162198
	5.3983039526 	0.0254727669 	0.0528045932 	0.0528049457 	0.0528041184
	5.4233562514 	0.0217084357 	0.0448596166 	0.0448599333 	0.0448591540
	5.4484085502 	0.0181909003 	0.0374724004 	0.0374726791 	0.0374719653
	5.4734608490 	0.0149883225 	0.0307779512 	0.0307781916 	0.0307775546
	5.4985131479 	0.0121429707 	0.0248565165 	0.0248567198 	0.0248561650
	5.5235654467 	0.0096731929 	0.0197384621 	0.0197386307 	0.0197381586
	5.5486177455 	0.0075768316 	0.0154119989 	0.0154121360 	0.0154117433
	5.5736700443 	0.0058355017 	0.0118325227 	0.0118326323 	0.0118323125
	5.5987223431 	0.0044191774 	0.0089324082 	0.0089324940 	0.0089322390
	5.6237746419 	0.0032906161 	0.0066302928 	0.0066303588 	0.0066301597
	5.6488269408 	0.0024092697 	0.0048391590 	0.0048392088 	0.0048390564
	5.6738792396 	0.0017344665 	0.0034728034 	0.0034728403 	0.0034727260
	5.6989315384 	0.0012277745 	0.0024505509 	0.0024505777 	0.0024504936
	5.7239838372 	0.0008545614 	0.0017002804 	0.0017002996 	0.0017002389
	5.7490361360 	0.0005848438 	0.0011599807 	0.0011599941 	0.0011599512
	5.7740884348 	0.0003935575 	0.0007781341 	0.0007781434 	0.0007781135
	5.7991407337 	0.0002604043 	0.0005132533 	0.0005132596 	0.0005132392
	5.8241930325 	0.0001694180 	0.0003328764 	0.0003328806 	0.0003328670
	5.8492453313 	0.0001083782 	0.0002122802 	0.0002122829 	0.0002122739
	5.8742976301 	0.0000681704 	0.0001331111 	0.0001331128 	0.0001331071
	5.8993499289 	0.0000421619 	0.0000820747 	0.0000820758 	0.0000820722
	5.9244022278 	0.0000256399 	0.0000497663 	0.0000497669 	0.0000497647
	5.9494545266 	0.0000153314 	0.0000296844 	0.0000296848 	0.0000296834
	5.9745068254 	0.0000090140 	0.0000174364 	0.0000174367 	0.0000174359
	5.9995591242 	0.0000052110 	0.0000101231 	0.0000101233 	0.0000101228
	6.0246114230 	0.0000029621 	0.0000058802 	0.0000058803 	0.0000058800
	6.0496637218 	0.0000016556 	0.0000035502 	0.0000035502 	0.0000035501
	6.0747160207 	0.0000009098 	0.0000024582 	0.0000024581 	0.0000024581
	6.0997683195 	0.0000004916 	0.0000022696 	0.0000022695 	0.0000022696
	6.1248206183 	0.0000002612 	0.0000029149 	0.0000029147 	0.0000029149
	6.1498729171 	0.0000001365 	0.0000045689 	0.0000045684 	0.0000045688
	6.1749252159 	0.0000000701 	0.0000076824 	0.0000076816 	0.0000076823
	6.1999775147 	0.0000000354 	0.0000130674 	0.0000130661 	0.0000130673
	6.2250298136 	0.0000000176 	0.0000220429 	0.0000220407 	0.0000220427
	6.2500821124 	0.0000000086 	0.0000366515 	0.0000366479 	0.0000366511
	6.2751344112 	0.0000000041 	0.0000599619 	0.0000599564 	0.0000599614
	6.3001867100 	0.0000000019 	0.0000964702 	0.0000964615 	0.0000964694
	6.3252390088 	0.0000000009 	0.0001526076 	0.0001525943 	0.0001526063
	6.3502913077 	0.0000000004 	0.0002373586 	0.0002373386 	0.0002373566
	6.3753436065 	0.0000000002 	0.0003629727 	0.0003629433 	0.0003629698
	6.4003959053 	0.0000000001 	0.0005457347 	0.0005456921 	0.0005457303
	6.4254482041 	0.0000000000 	0.0008067280 	0.0008066676 	0.0008067216
	6.4505005029 	0.0000000000 	0.0011724938 	0.0011724096 	0.0011724845
	6.4755528017 	0.0000000000 	0.0016754514 	0.0016753361 	0.0016754382
	6.5006051006 	0.0000000000 	0.0023539156 	0.0023537608 	0.0023538972
	6.5256573994 	0.0000000000 	0.0032515299 	0.0032513261 	0.0032515047
	6.5507096982 	0.0000000000 	0.0044159325 	0.0044156691 	0.0044158986
	6.5757619970 	0.0000000000 	0.0058965081 	0.0058961744 	0.0058964631
	6.6008142958 	0.0000000000 	0.0077411445 	0.0077407301 	0.0077410860
	6.6258665946 	0.0000000000 	0.0099920191 	0.0099915147 	0.0099919441
	6.6509188935 	0.0000000000 	0.0126805806 	0.0126799792 	0.0126804862
